index,exposure_start,exposure_end,client_start,client_end
2051,127.550042294,127.562458386,1609339384.3649175,1609339384.3823533
2052,127.562610627,127.574499979,1609339384.382391,1609339384.395807
2053,127.574625831,127.584970386,1609339384.3958366,1609339384.4078515
2054,127.585099127,127.595804775,1609339384.4078803,1609339384.415863
2055,127.595965683,127.608428108,1609339384.415892,1609339384.4279797
2056,127.608578183,127.618060553,1609339384.4280052,1609339384.4369915
2057,127.618191053,127.627907257,1609339384.4370148,1609339384.4464905
2058,127.628038553,127.64272059,1609339384.4465106,1609339384.4618337
2059,127.642898534,127.651676775,1609339384.4618552,1609339384.471363
2060,127.651836757,127.661777127,1609339384.4713845,1609339384.4805071
2061,127.66191122,127.674609627,1609339384.480526,1609339384.4932027
2062,127.674738182,127.684333312,1609339384.493224,1609339384.5048468
2063,127.684511942,127.695452294,1609339384.5048687,1609339384.5147173
2064,127.69561296,127.708017442,1609339384.514741,1609339384.5267215
2065,127.708150923,127.717376108,1609339384.5267422,1609339384.5362399
2066,127.717521016,127.727477831,1609339384.536262,1609339384.5462325
2067,127.727639349,127.740791201,1609339384.5462506,1609339384.5599313
2068,127.740964145,127.750743386,1609339384.5599527,1609339384.5711014
2069,127.750884719,127.760835071,1609339384.5711324,1609339384.5796564
2070,127.760968701,127.774312645,1609339384.5796776,1609339384.593183
2071,127.774477423,127.796496016,1609339384.5932038,1609339384.6177201
2072,127.796665682,127.819308553,1609339384.6177454,1609339384.6377604
2073,127.819481831,127.830231182,1609339384.6377864,1609339384.6517692
2074,127.830403775,127.841513349,1609339384.651794,1609339384.660808
2075,127.841671423,127.854679905,1609339384.6608334,1609339384.6738093
2076,127.854866423,127.865723719,1609339384.6738305,1609339384.6849864
2077,127.865914756,127.87507459,1609339384.685008,1609339384.6947896
2078,127.875276868,127.897874219,1609339384.69481,1609339384.7208276
2079,127.89804359,127.906230793,1609339384.7208483,1609339384.7279892
2080,127.906384182,127.917208275,1609339384.7280114,1609339384.7363062
2081,127.91767833,127.93049309,1609339384.7363272,1609339384.7496896
2082,127.930648034,127.940059608,1609339384.749714,1609339384.758886
2083,127.940199719,127.950147979,1609339384.758907,1609339384.7690582
2084,127.95029233,127.962379849,1609339384.7690814,1609339384.7807639
2085,127.962510238,127.972868275,1609339384.7807868,1609339384.791924
2086,127.973023423,127.983710812,1609339384.791945,1609339384.802631
2087,127.983844442,127.995650423,1609339384.802654,1609339384.813798
2088,127.995780053,128.005896701,1609339384.813819,1609339384.8248813
2089,128.006033979,128.017445127,1609339384.824903,1609339384.836549
2090,128.01760283,128.028961349,1609339384.83657,1609339384.8483324
2091,128.029089886,128.038950738,1609339384.8483558,1609339384.8576097
2092,128.039090034,128.04938846,1609339384.8576307,1609339384.868177
2093,128.04951859,128.064005923,1609339384.8681993,1609339384.8830419
2094,128.064169738,128.072991479,1609339384.8830943,1609339384.8917773
2095,128.073129201,128.08329583,1609339384.8918028,1609339384.9019604
2096,128.08343109,128.095554904,1609339384.9019866,1609339384.9151175
2097,128.095718127,128.106193386,1609339384.9151452,1609339384.925504
2098,128.106355756,128.117455238,1609339384.9255292,1609339384.9361262
2099,128.117589441,128.128753238,1609339384.9361508,1609339384.9475088
2100,128.128883479,128.139012756,1609339384.9475348,1609339384.9579926
2101,128.139155904,128.150501053,1609339384.9580164,1609339384.9694006
2102,128.150657497,128.162047682,1609339384.9694233,1609339384.9809508
2103,128.162174867,128.172046182,1609339384.9809709,1609339384.9909465
2104,128.172189182,128.182296571,1609339384.990974,1609339385.0011442
2105,128.182431756,128.19568659,1609339385.0011666,1609339385.0177853
2106,128.195847441,128.205179201,1609339385.0178084,1609339385.0254061
2107,128.205586553,128.217719664,1609339385.025421,1609339385.0360384
2108,128.217850404,128.230369701,1609339385.036059,1609339385.0493815
2109,128.230527627,128.24016246,1609339385.0494123,1609339385.059078
2110,128.240327793,128.250071312,1609339385.0590992,1609339385.0688977
2111,128.250211386,128.26265859,1609339385.0689178,1609339385.081927
2112,128.262787071,128.272388997,1609339385.0819497,1609339385.091566
2113,128.272550349,128.283345015,1609339385.0915878,1609339385.102161
2114,128.28349696,128.295096219,1609339385.1021838,1609339385.1160142
2115,128.295226256,128.304621793,1609339385.116066,1609339385.1238658
2116,128.304751701,128.315842515,1609339385.123888,1609339385.1365738
2117,128.315974127,128.32918296,1609339385.136597,1609339385.1483705
2118,128.329341534,128.339037997,1609339385.1483982,1609339385.1579735
2119,128.339167441,128.349435071,1609339385.158013,1609339385.1684592
2120,128.349565127,128.361989534,1609339385.1684847,1609339385.181496
2121,128.362148904,128.372755478,1609339385.181523,1609339385.1922498
2122,128.37290896,128.383143719,1609339385.192275,1609339385.2019053
2123,128.383276571,128.396248664,1609339385.2019458,1609339385.2147987
2124,128.396374941,128.405939571,1609339385.214828,1609339385.2271388
2125,128.406092664,128.41642933,1609339385.2271755,1609339385.2354438
